nmf
iter: 1, iterW: 1, iterH: 0
iter: 2, iterW: 0, iterH: 0
iter: 3, iterW: 3, iterH: 0
iter: 4, iterW: 0, iterH: 0
iter: 5, iterW: 0, iterH: 0
iter: 6, iterW: 94, iterH: 0
iter: 7, iterW: 0, iterH: 0
iter: 8, iterW: 130, iterH: 0
iter: 9, iterW: 0, iterH: 5
iter: 10, iterW: 200, iterH: 0
iter: 11, iterW: 158, iterH: 16
iter: 12, iterW: 176, iterH: 7
iter: 13, iterW: 129, iterH: 6
iter: 14, iterW: 200, iterH: 4
iter: 15, iterW: 93, iterH: 5
iter: 16, iterW: 77, iterH: 4
iter: 17, iterW: 81, iterH: 5
iter: 18, iterW: 91, iterH: 4
iter: 19, iterW: 67, iterH: 2
iter: 20, iterW: 54, iterH: 2
iter: 21, iterW: 46, iterH: 3
iter: 22, iterW: 48, iterH: 0
iter: 23, iterW: 14, iterH: 53
iter: 24, iterW: 83, iterH: 35
iter: 25, iterW: 73, iterH: 29
iter: 26, iterW: 57, iterH: 34
iter: 27, iterW: 64, iterH: 30
iter: 28, iterW: 71, iterH: 32
iter: 29, iterW: 89, iterH: 27
iter: 30, iterW: 76, iterH: 31
iter: 31, iterW: 61, iterH: 24
iter: 32, iterW: 79, iterH: 29
iter: 33, iterW: 83, iterH: 24
iter: 34, iterW: 96, iterH: 25
iter: 35, iterW: 62, iterH: 29
iter: 36, iterW: 67, iterH: 36
iter: 37, iterW: 82, iterH: 22
iter: 38, iterW: 84, iterH: 23
iter: 39, iterW: 69, iterH: 29
iter: 40, iterW: 72, iterH: 26
iter: 41, iterW: 104, iterH: 29
iter: 42, iterW: 57, iterH: 25
iter: 43, iterW: 56, iterH: 26
iter: 44, iterW: 52, iterH: 29
iter: 45, iterW: 39, iterH: 24
iter: 46, iterW: 49, iterH: 25
iter: 47, iterW: 73, iterH: 23
iter: 48, iterW: 80, iterH: 26
iter: 49, iterW: 48, iterH: 29
iter: 50, iterW: 61, iterH: 22
iter: 51, iterW: 74, iterH: 29
iter: 52, iterW: 36, iterH: 23
iter: 53, iterW: 87, iterH: 27
iter: 54, iterW: 80, iterH: 22
iter: 55, iterW: 84, iterH: 19
iter: 56, iterW: 95, iterH: 20
iter: 57, iterW: 75, iterH: 24
iter: 58, iterW: 52, iterH: 20
iter: 59, iterW: 44, iterH: 25
iter: 60, iterW: 43, iterH: 21
iter: 61, iterW: 63, iterH: 22
iter: 62, iterW: 57, iterH: 18
iter: 63, iterW: 71, iterH: 24
iter: 64, iterW: 94, iterH: 25
iter: 65, iterW: 62, iterH: 21
iter: 66, iterW: 67, iterH: 22
iter: 67, iterW: 69, iterH: 23
iter: 68, iterW: 63, iterH: 21
iter: 69, iterW: 57, iterH: 22
iter: 70, iterW: 55, iterH: 23
iter: 71, iterW: 41, iterH: 24
iter: 72, iterW: 82, iterH: 16
iter: 73, iterW: 59, iterH: 17
iter: 74, iterW: 48, iterH: 18
