iter: 1, iterW: 1, iterH: 0
iter: 2, iterW: 0, iterH: 0
iter: 3, iterW: 3, iterH: 0
iter: 4, iterW: 0, iterH: 0
iter: 5, iterW: 1, iterH: 0
iter: 6, iterW: 142, iterH: 0
iter: 7, iterW: 0, iterH: 0
iter: 8, iterW: 138, iterH: 0
iter: 9, iterW: 0, iterH: 5
iter: 10, iterW: 200, iterH: 16
iter: 11, iterW: 197, iterH: 9
iter: 12, iterW: 154, iterH: 41
iter: 13, iterW: 134, iterH: 37
iter: 14, iterW: 131, iterH: 34
iter: 15, iterW: 138, iterH: 30
iter: 16, iterW: 137, iterH: 24
iter: 17, iterW: 109, iterH: 22
iter: 18, iterW: 121, iterH: 23
iter: 19, iterW: 105, iterH: 21
iter: 20, iterW: 111, iterH: 23
iter: 21, iterW: 115, iterH: 23
iter: 22, iterW: 102, iterH: 27
iter: 23, iterW: 122, iterH: 28
iter: 24, iterW: 101, iterH: 31
iter: 25, iterW: 132, iterH: 25
iter: 26, iterW: 86, iterH: 24
iter: 27, iterW: 129, iterH: 23
iter: 28, iterW: 101, iterH: 23
iter: 29, iterW: 76, iterH: 29
iter: 30, iterW: 74, iterH: 28
iter: 31, iterW: 84, iterH: 31
iter: 32, iterW: 74, iterH: 24
iter: 33, iterW: 84, iterH: 24
iter: 34, iterW: 70, iterH: 27
iter: 35, iterW: 73, iterH: 26
iter: 36, iterW: 93, iterH: 32
iter: 37, iterW: 118, iterH: 29
iter: 38, iterW: 86, iterH: 30
iter: 39, iterW: 78, iterH: 28
iter: 40, iterW: 73, iterH: 32
iter: 41, iterW: 73, iterH: 32
iter: 42, iterW: 88, iterH: 33
iter: 43, iterW: 82, iterH: 28
iter: 44, iterW: 68, iterH: 28
iter: 45, iterW: 71, iterH: 30
iter: 46, iterW: 70, iterH: 24
iter: 47, iterW: 55, iterH: 29
iter: 48, iterW: 67, iterH: 29
iter: 49, iterW: 51, iterH: 27
iter: 50, iterW: 65, iterH: 24
iter: 51, iterW: 57, iterH: 31
iter: 52, iterW: 70, iterH: 26
iter: 53, iterW: 63, iterH: 27
iter: 54, iterW: 59, iterH: 21
iter: 55, iterW: 53, iterH: 22
iter: 56, iterW: 49, iterH: 22
iter: 57, iterW: 51, iterH: 23
iter: 58, iterW: 48, iterH: 23
iter: 59, iterW: 69, iterH: 23
iter: 60, iterW: 57, iterH: 24
iter: 61, iterW: 66, iterH: 24
iter: 62, iterW: 40, iterH: 24
iter: 63, iterW: 53, iterH: 23
iter: 64, iterW: 55, iterH: 18
iter: 65, iterW: 60, iterH: 18
iter: 66, iterW: 68, iterH: 21
iter: 67, iterW: 40, iterH: 23
iter: 68, iterW: 53, iterH: 25
iter: 69, iterW: 57, iterH: 28
iter: 70, iterW: 36, iterH: 13
iter: 71, iterW: 42, iterH: 14
iter: 72, iterW: 46, iterH: 14
iter: 73, iterW: 56, iterH: 21
iter: 74, iterW: 47, iterH: 35
